Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,18.41,18.67,19.72,17.62,UP ▲,66.4%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,18.41,19.14,20.99,17.29,UP ▲,82.7%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,18.41,20.14,22.9,17.38,UP ▲,88.6%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,18.34,18.44,20.81,16.06,UP ▲,52.1%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,18.34,18.92,21.67,16.17,UP ▲,58.9%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,18.34,19.83,22.58,17.08,UP ▲,64.6%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,18.34,23.28,26.03,20.53,UP ▲,73.6%,,
