Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,28.38,28.42,28.76,28.08,UP ▲,57.0%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,28.38,28.11,28.8,27.42,DOWN ▼,82.0%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,28.38,28.63,29.72,27.54,UP ▲,64.7%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,28.5,28.55,29.34,27.75,UP ▲,53.3%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,28.5,28.55,29.66,27.44,UP ▲,52.4%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,28.5,28.36,30.17,26.56,DOWN ▼,54.1%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,28.5,27.43,31.71,23.16,DOWN ▼,65.6%,,
