Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1d,2026-03-12 00:00,2026-03-13 00:00,1d,57.32,58.08,60.97,55.19,UP ▲,67.8%,,
1d,2026-03-12 00:00,2026-03-16 00:00,2d,57.32,58.36,62.42,54.3,UP ▲,67.3%,,
1d,2026-03-12 00:00,2026-03-19 00:00,7d,57.32,59.63,66.7,52.55,UP ▲,74.2%,,
1d,2026-03-12 00:00,2026-04-09 00:00,28d,57.32,63.65,72.25,55.05,UP ▲,82.4%,,
