Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,130.95,131.05,132.54,129.55,UP ▲,53.6%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,130.95,130.95,132.93,128.98,UP ▲,50.2%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,130.95,131.59,136.16,127.01,UP ▲,58.1%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,132.91,132.28,137.65,126.91,DOWN ▼,56.7%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,132.91,132.15,139.61,124.68,DOWN ▼,55.7%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,132.91,131.55,143.5,119.61,DOWN ▼,56.4%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,132.91,131.8,151.74,111.87,DOWN ▼,52.6%,,
