Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,41.72,41.66,42.36,40.96,DOWN ▼,55.0%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,41.72,41.79,42.76,40.82,UP ▲,53.7%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,41.72,41.72,43.53,39.92,UP ▲,50.0%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,43.44,43.5,45.04,41.97,UP ▲,52.2%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,43.44,43.56,45.74,41.37,UP ▲,52.8%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,43.44,43.86,47.56,40.16,UP ▲,56.5%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,43.44,46.15,52.66,39.63,UP ▲,70.1%,,
