Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,217.18,217.33,219.62,215.03,UP ▲,53.5%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,217.18,217.29,220.43,214.14,UP ▲,51.8%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,217.18,217.47,223.83,211.11,UP ▲,52.4%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,224.3,226.68,234.67,218.68,UP ▲,71.1%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,224.3,224.51,232.68,216.35,UP ▲,51.3%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,224.3,224.14,236.87,211.41,DOWN ▼,50.6%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,224.3,200.73,234.37,167.08,DOWN ▼,95.7%,,
