Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-13 12:30,2026-03-13 14:30,1h,265.98,263.26,270.66,255.86,DOWN ▼,78.9%,,
1h,2026-03-13 12:30,2026-03-13 15:30,2h,265.98,261.39,272.61,250.17,DOWN ▼,84.6%,,
1h,2026-03-13 12:30,2026-03-13 17:30,4h,265.98,259.48,275.35,243.61,DOWN ▼,84.6%,,
1d,2026-03-12 00:00,2026-03-13 00:00,1d,261.18,276.65,311.43,241.87,UP ▲,90.1%,,
1d,2026-03-12 00:00,2026-03-16 00:00,2d,261.18,245.95,285.12,206.77,DOWN ▼,77.9%,,
1d,2026-03-12 00:00,2026-03-19 00:00,7d,261.18,220.78,259.95,181.6,DOWN ▼,96.8%,,
1d,2026-03-12 00:00,2026-04-09 00:00,28d,261.18,172.71,211.89,133.53,DOWN ▼,100.0%,,
