Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-13 12:30,2026-03-13 14:30,1h,61.0,61.0,61.53,60.47,DOWN ▼,50.0%,,
1h,2026-03-13 12:30,2026-03-13 15:30,2h,61.0,61.05,61.85,60.25,UP ▲,53.3%,,
1h,2026-03-13 12:30,2026-03-13 17:30,4h,61.0,61.16,62.38,59.94,UP ▲,57.5%,,
1d,2026-03-12 00:00,2026-03-13 00:00,1d,60.27,61.01,63.18,58.85,UP ▲,76.1%,,
1d,2026-03-12 00:00,2026-03-16 00:00,2d,60.27,61.22,64.18,58.26,UP ▲,73.6%,,
1d,2026-03-12 00:00,2026-03-19 00:00,7d,60.27,63.2,69.31,57.09,UP ▲,96.0%,,
1d,2026-03-12 00:00,2026-04-09 00:00,28d,60.27,66.17,75.21,57.13,UP ▲,95.2%,,
