Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,38.2,38.46,39.18,37.73,UP ▲,77.3%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,38.2,38.43,39.33,37.54,UP ▲,67.5%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,38.2,39.08,41.3,36.87,UP ▲,83.2%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,38.37,39.71,42.79,36.63,UP ▲,88.3%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,38.37,38.86,41.81,35.9,UP ▲,59.9%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,38.37,39.21,43.95,34.47,UP ▲,60.7%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,38.37,46.19,51.95,40.44,UP ▲,98.9%,,
