Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,228.28,226.04,231.93,220.16,DOWN ▼,80.6%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,228.28,225.1,233.44,216.77,DOWN ▼,80.8%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,228.28,228.33,238.7,217.96,UP ▲,50.2%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,230.35,221.23,244.56,197.89,DOWN ▼,82.1%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,230.35,224.52,250.45,198.6,DOWN ▼,64.5%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,230.35,242.08,276.63,207.53,UP ▲,68.5%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,230.35,220.97,255.52,186.42,DOWN ▼,57.2%,,
