Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,126.36,125.13,128.11,122.14,DOWN ▼,85.4%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,126.36,124.56,128.83,120.29,DOWN ▼,86.5%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,126.36,128.0,134.57,121.43,UP ▲,66.5%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,122.72,122.44,126.7,118.19,DOWN ▼,53.5%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,122.72,122.56,128.35,116.78,DOWN ▼,51.4%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,122.72,121.65,131.62,111.68,DOWN ▼,56.0%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,122.72,112.75,131.16,94.34,DOWN ▼,77.3%,,
