Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,393.29,393.84,398.41,389.27,UP ▲,56.8%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,393.29,393.93,400.25,387.6,UP ▲,55.6%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,393.29,395.07,408.22,381.92,UP ▲,57.8%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,393.29,392.58,405.36,379.8,DOWN ▼,52.9%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,393.29,392.98,410.36,375.59,DOWN ▼,50.9%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,393.29,394.56,422.82,366.3,UP ▲,52.4%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,393.29,388.33,447.32,329.33,DOWN ▼,54.5%,,
