Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,43.96,43.96,44.27,43.64,DOWN ▼,50.0%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,43.96,43.97,44.43,43.51,UP ▲,51.7%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,43.96,44.16,45.27,43.06,UP ▲,61.6%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,43.94,44.08,45.19,42.98,UP ▲,57.5%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,43.94,44.24,45.9,42.58,UP ▲,60.9%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,43.94,44.38,46.97,41.78,UP ▲,60.2%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,43.94,44.0,48.48,39.52,UP ▲,50.7%,,
