Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,21.4,21.47,21.97,20.97,UP ▲,59.3%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,21.4,21.47,22.15,20.8,UP ▲,56.4%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,21.4,21.88,23.56,20.2,UP ▲,70.5%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,21.81,21.76,23.11,20.4,DOWN ▼,52.1%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,21.81,21.77,23.65,19.9,DOWN ▼,51.0%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,21.81,21.96,25.01,18.91,UP ▲,52.6%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,21.81,22.96,26.23,19.69,UP ▲,59.7%,,
