Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,331.12,330.22,336.32,324.11,DOWN ▼,58.7%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,331.12,332.25,340.73,323.76,UP ▲,57.7%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,331.12,336.31,356.21,316.41,UP ▲,67.6%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,337.61,343.71,361.76,325.65,UP ▲,75.5%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,337.61,345.04,369.38,320.7,UP ▲,72.0%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,337.61,353.37,395.87,310.87,UP ▲,79.5%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,337.61,389.22,439.87,338.58,UP ▲,97.1%,,
