Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,168.84,168.95,170.77,167.13,UP ▲,53.1%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,168.84,169.16,171.9,166.42,UP ▲,56.6%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,168.84,169.76,175.53,163.99,UP ▲,59.5%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,166.84,167.05,172.04,162.07,UP ▲,52.2%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,166.84,167.4,174.71,160.09,UP ▲,54.1%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,166.84,167.9,179.64,156.17,UP ▲,55.0%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,166.84,171.82,196.85,146.8,UP ▲,61.4%,,
