Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,24.97,25.12,25.85,24.38,UP ▲,62.8%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,24.97,25.28,26.42,24.14,UP ▲,69.0%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,24.97,26.47,29.63,23.31,UP ▲,95.4%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,25.71,25.66,27.71,23.6,DOWN ▼,51.4%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,25.71,25.67,28.54,22.81,DOWN ▼,50.6%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,25.71,25.71,29.57,21.85,DOWN ▼,50.0%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,25.71,26.94,30.8,23.08,UP ▲,56.7%,,
