Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,18.75,18.75,18.92,18.58,DOWN ▼,51.3%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,18.75,18.75,18.99,18.52,DOWN ▼,50.0%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,18.75,18.85,19.41,18.29,UP ▲,59.9%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,18.75,18.85,19.31,18.4,UP ▲,64.8%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,18.75,18.9,19.56,18.25,UP ▲,65.5%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,18.75,18.98,20.0,17.96,UP ▲,64.8%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,18.75,19.92,22.7,17.14,UP ▲,86.4%,,
