Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,139.6,139.99,141.95,138.02,UP ▲,62.2%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,139.6,140.56,143.75,137.36,UP ▲,71.4%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,139.6,140.26,145.39,135.13,UP ▲,57.3%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,134.34,134.49,138.08,130.89,UP ▲,52.1%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,134.34,134.6,139.74,129.46,UP ▲,52.7%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,134.34,135.2,143.77,126.63,UP ▲,55.6%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,134.34,137.25,155.97,118.54,UP ▲,59.2%,,
