Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,60.74,60.32,61.86,58.79,DOWN ▼,68.9%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,60.74,60.33,62.32,58.34,DOWN ▼,63.3%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,60.74,58.26,63.89,52.64,DOWN ▼,89.5%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,64.63,64.47,67.84,61.09,DOWN ▼,52.6%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,64.63,65.11,70.14,60.09,UP ▲,55.3%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,64.63,66.55,75.65,57.45,UP ▲,63.4%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,64.63,60.62,70.31,50.92,DOWN ▼,63.6%,,
