Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,67.75,67.75,69.39,66.11,DOWN ▼,50.0%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,67.75,67.63,70.07,65.19,DOWN ▼,52.7%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,67.75,67.75,72.38,63.12,DOWN ▼,50.0%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,68.69,68.51,73.42,63.6,DOWN ▼,52.0%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,68.69,68.69,75.37,62.01,DOWN ▼,50.0%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,68.69,67.78,78.09,57.48,DOWN ▼,54.3%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,68.69,71.89,82.19,61.58,UP ▲,57.4%,,
