Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,18.88,18.57,19.46,17.68,DOWN ▼,76.7%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,18.88,18.73,19.7,17.75,DOWN ▼,59.2%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,18.88,19.38,21.52,17.24,UP ▲,65.2%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,18.37,18.18,20.93,15.42,DOWN ▼,53.4%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,18.37,18.01,20.77,15.26,DOWN ▼,54.5%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,18.37,17.32,20.07,14.56,DOWN ▼,58.3%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,18.37,14.04,16.8,11.29,DOWN ▼,66.7%,,
