Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,56.9,56.84,57.89,55.79,DOWN ▼,52.9%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,56.9,56.87,58.3,55.45,DOWN ▼,50.9%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,56.9,56.14,59.71,52.57,DOWN ▼,63.6%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,56.09,55.58,58.98,52.17,DOWN ▼,58.9%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,56.09,55.42,60.18,50.67,DOWN ▼,58.2%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,56.09,61.36,69.77,52.94,UP ▲,90.7%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,56.09,69.31,77.72,60.89,UP ▲,99.9%,,
