Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-13 12:30,2026-03-13 14:30,1h,6.55,6.54,6.66,6.42,DOWN ▼,52.6%,,
1h,2026-03-13 12:30,2026-03-13 15:30,2h,6.55,6.54,6.71,6.36,DOWN ▼,54.4%,,
1h,2026-03-13 12:30,2026-03-13 17:30,4h,6.55,6.51,6.78,6.24,DOWN ▼,59.2%,,
1d,2026-03-12 00:00,2026-03-13 00:00,1d,6.44,6.43,6.9,5.96,DOWN ▼,50.8%,,
1d,2026-03-12 00:00,2026-03-16 00:00,2d,6.44,6.19,7.09,5.29,DOWN ▼,69.1%,,
1d,2026-03-12 00:00,2026-03-19 00:00,7d,6.44,7.03,7.99,6.06,UP ▲,78.4%,,
1d,2026-03-12 00:00,2026-04-09 00:00,28d,6.44,6.61,7.57,5.64,UP ▲,53.9%,,
