Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,412.64,412.58,418.35,406.82,DOWN ▼,50.5%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,412.64,414.57,424.57,404.56,UP ▲,61.9%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,412.64,422.52,448.54,396.49,UP ▲,80.6%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,413.7,408.9,430.08,387.73,DOWN ▼,64.6%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,413.7,402.14,436.87,367.41,DOWN ▼,75.0%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,413.7,390.61,450.33,330.89,DOWN ▼,81.5%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,413.7,365.71,427.76,303.65,DOWN ▼,82.0%,,
