Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,213.84,213.91,216.42,211.39,UP ▲,51.3%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,213.84,214.25,218.13,210.38,UP ▲,56.0%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,213.84,215.54,224.16,206.92,UP ▲,62.3%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,221.55,221.55,228.07,215.03,DOWN ▼,50.0%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,221.55,221.87,231.41,212.32,UP ▲,51.7%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,221.55,222.38,237.8,206.96,UP ▲,52.8%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,221.55,227.35,260.59,194.12,UP ▲,59.7%,,
