Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,109.48,109.6,111.36,107.85,UP ▲,53.8%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,109.48,109.61,112.06,107.17,UP ▲,52.9%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,109.48,109.81,114.77,104.86,UP ▲,53.6%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,111.09,111.47,116.9,106.04,UP ▲,53.7%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,111.09,111.67,119.41,103.94,UP ▲,54.1%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,111.09,112.92,126.06,99.79,UP ▲,58.1%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,111.09,124.96,141.62,108.3,UP ▲,79.9%,,
