Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,117.31,117.31,118.91,115.71,DOWN ▼,50.0%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,117.31,117.23,119.57,114.88,DOWN ▼,51.9%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,117.31,116.65,121.83,111.47,DOWN ▼,57.3%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,119.79,120.12,124.01,116.24,UP ▲,54.7%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,119.79,120.36,125.95,114.76,UP ▲,55.6%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,119.79,120.28,128.72,111.84,UP ▲,53.1%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,119.79,121.22,138.94,103.5,UP ▲,54.4%,,
