Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-13 12:30,2026-03-13 14:30,1h,125.13,125.13,126.35,123.91,UP ▲,50.1%,,
1h,2026-03-13 12:30,2026-03-13 15:30,2h,125.13,125.3,127.21,123.4,UP ▲,55.2%,,
1h,2026-03-13 12:30,2026-03-13 17:30,4h,125.13,125.46,128.24,122.69,UP ▲,56.9%,,
1d,2026-03-12 00:00,2026-03-13 00:00,1d,123.16,123.01,128.11,117.91,DOWN ▼,51.5%,,
1d,2026-03-12 00:00,2026-03-16 00:00,2d,123.16,123.4,130.63,116.16,UP ▲,51.7%,,
1d,2026-03-12 00:00,2026-03-19 00:00,7d,123.16,124.14,136.18,112.1,UP ▲,54.4%,,
1d,2026-03-12 00:00,2026-04-09 00:00,28d,123.16,125.03,143.5,106.55,UP ▲,54.1%,,
