Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,18.25,18.44,18.95,17.94,UP ▲,79.5%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,18.25,18.34,18.88,17.8,UP ▲,59.6%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,18.25,18.82,20.3,17.35,UP ▲,81.4%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,19.38,19.81,21.22,18.4,UP ▲,71.9%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,19.38,19.95,21.91,18.0,UP ▲,70.6%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,19.38,20.23,23.13,17.32,UP ▲,69.4%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,19.38,15.11,18.01,12.2,DOWN ▼,97.7%,,
