Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,241.55,241.17,244.12,238.22,DOWN ▼,57.3%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,241.55,240.6,245.19,236.0,DOWN ▼,63.1%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,241.55,239.25,248.83,229.67,DOWN ▼,65.8%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,245.97,245.72,252.33,239.11,DOWN ▼,52.0%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,245.97,245.65,254.96,236.33,DOWN ▼,51.8%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,245.97,245.97,260.18,231.76,DOWN ▼,50.0%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,245.97,245.97,275.1,216.84,DOWN ▼,50.0%,,
