Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,71.91,71.84,72.8,70.88,DOWN ▼,53.7%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,71.91,71.74,73.17,70.32,DOWN ▼,56.5%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,71.91,72.13,74.87,69.39,UP ▲,54.3%,,
1d,2026-03-10 00:00,2026-03-11 00:00,1d,73.67,73.88,76.49,71.26,UP ▲,54.3%,,
1d,2026-03-10 00:00,2026-03-12 00:00,2d,73.67,74.23,78.2,70.26,UP ▲,58.3%,,
1d,2026-03-10 00:00,2026-03-17 00:00,7d,73.67,75.16,82.04,68.28,UP ▲,63.9%,,
1d,2026-03-10 00:00,2026-04-07 00:00,28d,73.67,75.73,86.78,64.68,UP ▲,59.3%,,
