Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-13 12:30,2026-03-13 14:30,1h,330.42,330.47,332.66,328.28,UP ▲,51.3%,,
1h,2026-03-13 12:30,2026-03-13 15:30,2h,330.42,330.3,333.44,327.16,DOWN ▼,52.0%,,
1h,2026-03-13 12:30,2026-03-13 17:30,4h,330.42,331.41,336.68,326.15,UP ▲,61.6%,,
1d,2026-03-12 00:00,2026-03-13 00:00,1d,329.56,331.05,339.12,322.99,UP ▲,61.4%,,
1d,2026-03-12 00:00,2026-03-16 00:00,2d,329.56,331.68,343.1,320.26,UP ▲,61.4%,,
1d,2026-03-12 00:00,2026-03-19 00:00,7d,329.56,325.64,344.26,307.02,DOWN ▼,63.3%,,
1d,2026-03-12 00:00,2026-04-09 00:00,28d,329.56,323.69,359.69,287.69,DOWN ▼,59.7%,,
