Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,45.48,45.47,46.09,44.84,DOWN ▼,51.0%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,45.48,45.32,46.34,44.3,DOWN ▼,59.2%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,45.48,45.19,47.2,43.19,DOWN ▼,58.2%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,45.33,45.23,47.13,43.34,DOWN ▼,52.7%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,45.33,44.57,47.87,41.26,DOWN ▼,65.0%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,45.33,43.86,49.35,38.36,DOWN ▼,68.3%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,45.33,39.24,46.04,32.44,DOWN ▼,87.0%,,
