Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,100.55,101.81,104.94,98.69,UP ▲,83.9%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,100.55,102.29,106.65,97.92,UP ▲,83.0%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,100.55,105.29,115.28,95.29,UP ▲,95.0%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,103.11,103.28,109.01,97.54,UP ▲,51.5%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,103.11,103.62,112.01,95.23,UP ▲,53.2%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,103.11,103.84,117.03,90.65,UP ▲,52.9%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,103.11,108.44,123.91,92.97,UP ▲,60.4%,,
