Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-13 12:30,2026-03-13 14:30,1h,481.79,479.85,487.5,472.2,DOWN ▼,67.0%,,
1h,2026-03-13 12:30,2026-03-13 15:30,2h,481.79,478.63,489.86,467.39,DOWN ▼,69.6%,,
1h,2026-03-13 12:30,2026-03-13 17:30,4h,481.79,474.32,493.2,455.45,DOWN ▼,82.7%,,
1d,2026-03-12 00:00,2026-03-13 00:00,1d,478.13,480.53,499.3,461.75,UP ▲,57.3%,,
1d,2026-03-12 00:00,2026-03-16 00:00,2d,478.13,480.93,506.89,454.97,UP ▲,56.0%,,
1d,2026-03-12 00:00,2026-03-19 00:00,7d,478.13,465.54,514.75,416.32,DOWN ▼,67.2%,,
1d,2026-03-12 00:00,2026-04-09 00:00,28d,478.13,404.43,476.15,332.71,DOWN ▼,99.1%,,
