Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-13 12:30,2026-03-13 14:30,1h,245.66,245.67,247.71,243.64,UP ▲,50.3%,,
1h,2026-03-13 12:30,2026-03-13 15:30,2h,245.66,246.01,249.23,242.8,UP ▲,56.2%,,
1h,2026-03-13 12:30,2026-03-13 17:30,4h,245.66,246.76,251.9,241.61,UP ▲,63.5%,,
1d,2026-03-12 00:00,2026-03-13 00:00,1d,244.1,244.86,251.49,238.23,UP ▲,56.5%,,
1d,2026-03-12 00:00,2026-03-16 00:00,2d,244.1,248.72,261.65,235.8,UP ▲,77.8%,,
1d,2026-03-12 00:00,2026-03-19 00:00,7d,244.1,252.62,274.27,230.97,UP ▲,82.4%,,
1d,2026-03-12 00:00,2026-04-09 00:00,28d,244.1,246.22,275.25,217.19,UP ▲,53.9%,,
