Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,360.73,360.92,365.68,356.15,UP ▲,52.1%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,360.73,361.2,368.13,354.26,UP ▲,53.6%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,360.73,361.65,375.5,347.8,UP ▲,53.6%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,373.25,378.2,397.29,359.12,UP ▲,67.5%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,373.25,382.57,411.86,353.27,UP ▲,73.3%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,373.25,385.06,428.45,341.66,UP ▲,68.7%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,373.25,387.41,443.4,331.43,UP ▲,60.9%,,
