Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1d,2026-03-12 00:00,2026-03-13 00:00,1d,79.75,78.96,81.65,76.27,DOWN ▼,70.7%,,
1d,2026-03-12 00:00,2026-03-16 00:00,2d,79.75,80.81,84.55,77.06,UP ▲,69.7%,,
1d,2026-03-12 00:00,2026-03-19 00:00,7d,79.75,79.27,84.0,74.55,DOWN ▼,55.6%,,
1d,2026-03-12 00:00,2026-04-09 00:00,28d,79.75,71.07,83.03,59.11,DOWN ▼,99.8%,,
