Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,110.82,110.77,111.51,110.04,DOWN ▼,53.9%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,110.82,110.83,111.79,109.86,UP ▲,50.1%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,110.82,111.11,113.31,108.9,UP ▲,57.3%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,109.35,109.41,111.38,107.45,UP ▲,51.7%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,109.35,109.68,112.7,106.67,UP ▲,56.2%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,109.35,109.13,113.59,104.68,DOWN ▼,52.5%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,109.35,109.45,118.24,100.66,UP ▲,50.6%,,
