Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,220.49,220.42,222.6,218.23,DOWN ▼,51.8%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,220.49,220.1,223.48,216.71,DOWN ▼,56.7%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,220.49,218.44,226.46,210.42,DOWN ▼,67.2%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,222.58,222.1,229.3,214.9,DOWN ▼,53.6%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,222.58,220.91,232.09,209.73,DOWN ▼,58.8%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,222.58,218.83,237.61,200.05,DOWN ▼,62.5%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,222.58,232.71,266.1,199.32,UP ▲,66.4%,,
