Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,93.51,93.34,94.5,92.17,DOWN ▼,58.8%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,93.51,94.04,95.97,92.11,UP ▲,69.0%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,93.51,93.07,96.31,89.82,DOWN ▼,57.9%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,92.31,92.1,94.84,89.37,DOWN ▼,54.1%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,92.31,93.99,99.25,88.73,UP ▲,73.5%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,92.31,96.96,107.26,86.65,UP ▲,91.1%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,92.31,103.82,117.66,89.97,UP ▲,99.6%,,
