Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,21.03,21.08,21.48,20.68,UP ▲,56.7%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,21.03,20.96,21.54,20.38,DOWN ▼,57.8%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,21.03,20.94,22.04,19.84,DOWN ▼,54.8%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,22.2,22.3,23.25,21.35,UP ▲,55.9%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,22.2,21.81,23.4,20.23,DOWN ▼,66.2%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,22.2,20.52,23.85,17.19,DOWN ▼,94.3%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,22.2,18.39,21.72,15.06,DOWN ▼,99.2%,,
