Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,233.72,233.83,236.84,230.82,UP ▲,52.0%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,233.72,234.11,238.59,229.62,UP ▲,54.7%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,233.72,234.54,243.55,225.53,UP ▲,55.0%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,240.15,244.74,256.39,233.08,UP ▲,82.5%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,240.15,245.58,261.0,230.16,UP ▲,77.2%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,240.15,250.64,276.94,224.35,UP ▲,83.2%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,240.15,252.45,288.48,216.43,UP ▲,69.0%,,
