Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,25.98,25.99,26.63,25.35,UP ▲,50.4%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,25.98,26.03,26.98,25.08,UP ▲,52.9%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,25.98,26.51,28.83,24.18,UP ▲,64.7%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,27.47,27.76,30.16,25.36,UP ▲,56.8%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,27.47,28.33,32.18,24.49,UP ▲,64.5%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,27.47,30.44,34.56,26.32,UP ▲,81.4%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,27.47,31.23,35.35,27.11,UP ▲,69.5%,,
