Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,216.66,217.37,222.61,212.12,UP ▲,57.8%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,216.66,218.37,226.5,210.24,UP ▲,63.3%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,216.66,220.34,236.85,203.82,UP ▲,64.3%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,222.55,222.41,235.1,209.72,DOWN ▼,50.6%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,222.55,224.48,244.16,204.8,UP ▲,55.4%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,222.55,201.91,235.3,168.53,DOWN ▼,86.8%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,222.55,166.38,199.76,133.0,DOWN ▼,98.8%,,
