Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1d,2026-03-12 00:00,2026-03-13 00:00,1d,15.3,15.01,16.22,13.81,DOWN ▼,65.6%,,
1d,2026-03-12 00:00,2026-03-16 00:00,2d,15.3,14.72,16.6,12.84,DOWN ▼,72.5%,,
1d,2026-03-12 00:00,2026-03-19 00:00,7d,15.3,14.04,16.34,11.75,DOWN ▼,80.6%,,
1d,2026-03-12 00:00,2026-04-09 00:00,28d,15.3,12.62,14.91,10.32,DOWN ▼,82.0%,,
