Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,266.69,266.92,271.94,261.9,UP ▲,52.4%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,266.69,266.94,273.96,259.91,UP ▲,51.9%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,266.69,269.08,285.01,253.14,UP ▲,58.8%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,265.8,265.57,283.68,247.46,DOWN ▼,50.6%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,265.8,265.8,291.09,240.51,DOWN ▼,50.0%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,265.8,267.56,307.43,227.69,UP ▲,52.2%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,265.8,275.86,315.73,235.99,UP ▲,56.1%,,
