Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,684.16,684.42,695.15,673.69,UP ▲,51.2%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,684.16,685.49,701.64,669.35,UP ▲,54.5%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,684.16,693.57,732.6,654.54,UP ▲,65.9%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,692.58,690.4,720.13,660.67,DOWN ▼,54.0%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,692.58,691.27,731.54,650.99,DOWN ▼,51.7%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,692.58,693.36,755.74,630.97,UP ▲,50.6%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,692.58,705.32,809.21,601.44,UP ▲,55.0%,,
