Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,406.1,403.77,413.24,394.3,DOWN ▼,66.3%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,406.1,403.79,416.2,391.38,DOWN ▼,61.4%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,406.1,397.56,426.31,368.82,DOWN ▼,71.1%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,418.69,424.91,456.4,393.41,UP ▲,62.3%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,418.69,413.71,454.44,372.98,DOWN ▼,57.0%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,418.69,392.16,454.97,329.36,DOWN ▼,73.5%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,418.69,319.46,382.27,256.66,DOWN ▼,92.8%,,
