Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,319.7,319.3,323.23,315.38,DOWN ▼,55.6%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,319.7,318.76,324.69,312.83,DOWN ▼,59.4%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,319.7,317.64,329.68,305.59,DOWN ▼,60.3%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,316.9,318.97,329.57,308.37,UP ▲,62.2%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,316.9,317.99,331.14,304.84,UP ▲,54.5%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,316.9,322.73,347.64,297.83,UP ▲,65.3%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,316.9,328.26,375.8,280.73,UP ▲,64.5%,,
