Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,88.88,88.8,91.44,86.16,DOWN ▼,51.5%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,88.88,89.63,94.01,85.25,UP ▲,60.3%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,88.88,88.37,96.13,80.61,DOWN ▼,53.5%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,90.84,89.98,96.12,83.83,DOWN ▼,58.1%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,90.84,90.6,98.31,82.9,DOWN ▼,51.6%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,90.84,92.4,105.78,79.03,UP ▲,56.6%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,90.84,90.56,104.19,76.94,DOWN ▼,50.6%,,
