Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 16:30,2026-03-12 18:30,1h,423.03,423.34,427.34,419.34,UP ▲,54.2%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,423.03,423.26,428.71,417.81,UP ▲,52.2%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,423.03,423.27,433.95,412.58,UP ▲,51.1%,,
1d,2026-03-11 00:00,2026-03-12 00:00,1d,432.42,432.17,444.63,419.72,DOWN ▼,51.0%,,
1d,2026-03-11 00:00,2026-03-13 00:00,2d,432.42,432.72,450.28,415.16,UP ▲,50.9%,,
1d,2026-03-11 00:00,2026-03-18 00:00,7d,432.42,433.98,462.82,405.13,UP ▲,52.8%,,
1d,2026-03-11 00:00,2026-04-08 00:00,28d,432.42,449.45,514.31,384.59,UP ▲,65.2%,,
